#Component_name,comp_id,modenum,ra_hms_cont,dec_dms_cont,ra_deg_cont,dec_deg_cont,flux_peak,flux_int,x0_1_maxl,dx_1_maxl,y0_1_maxl,abs_peakz_median,abs_peakz_siglo,abs_peakz_sighi,abs_peakopd_median,abs_peakopd_siglo,abs_peakopd_sighi,abs_intopd_median(km/s),abs_intopd_siglo(km/s),abs_intopd_sighi(km/s),abs_width_median(km/s),abs_width_siglo(km/s),abs_width_sighi(km/s),ln(B)_mean,ln(B)_sigma,chisq_mean,chisq_sigma,field
J222702-523325,component_2a,2,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.80446714,57.12396858,0.07456326,0.80446711,0.00000054,0.00000069,0.07381103,0.00005684,0.00004414,4.46245391,0.02318185,0.01858833,60.46765488,0.27642565,0.21732076,1931.16,0.170203,2.59854,0.0113402,FLASH_158
J222702-523325,component_2a,3,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.80446744,54.48216507,0.07460406,0.80446675,0.00001411,0.00000186,0.07380777,0.00004191,0.00006364,4.27545472,0.00916593,0.00905545,57.91994052,0.12132666,0.12009276,1935.03,0.16326,2.59807,0.0113402,FLASH_158
J222702-523325,component_2a,4,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.80446844,54.89333284,0.07453863,0.80446767,0.00000019,0.00000099,0.07378365,0.00002461,0.00000602,4.31590096,0.01161054,0.00715560,58.49292626,0.15131430,0.10964066,1932.51,0.167126,2.59816,0.0113402,FLASH_158
J222702-523325,component_2a,5,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.80446854,55.59630009,0.07461090,0.80446737,0.00000172,0.00000144,0.07384809,0.00004795,0.00005421,4.36719040,0.02277342,0.01269527,59.12986061,0.29247077,0.14902026,1936.54,0.159031,2.59804,0.0113402,FLASH_158
J222702-523325,component_2a,6,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.85054920,44.47316020,0.10094843,0.85055127,0.00000311,0.00000869,0.09997307,0.00221217,0.00236781,4.68877603,0.08327950,0.10788593,46.96572938,0.72430225,0.70359296,1160.36,0.14847,2.69861,0.0113402,FLASH_158
J222702-523325,component_2a,7,22:27:02.7,-52:33:25,336.761118,-52.557200,2893.152,4103.179,0.85046570,3.04087036,0.14636055,0.85046825,0.00000014,0.00000020,0.14025501,0.00525601,0.00508947,0.34953712,0.09306628,0.26542832,2.42195490,0.58182290,1.89625621,344.545,0.131617,2.8042,0.0113402,FLASH_158
J215406-515006,component_1b,1,21:54:06.8,-51:50:06,328.528205,-51.835125,1720.549,1916.859,0.80449454,42.09058549,0.17184354,0.80449427,0.00000241,0.00000250,0.17073596,0.00345685,0.00335213,7.60169684,0.14288970,0.13896995,44.51768784,0.64424637,0.67806671,2062.48,0.146467,2.5411,0.0113402,FLASH_158
J215406-515006,component_1b,2,21:54:06.8,-51:50:06,328.528205,-51.835125,1720.549,1916.859,0.69146672,129.64508893,0.00997501,0.69147153,0.00004583,0.00005970,0.00960340,0.00112038,0.00087245,1.34265892,0.14662067,0.15177735,138.41777645,17.96058795,25.96953513,69.4596,0.122323,2.79831,0.0113402,FLASH_158
J215406-515006,component_1b,3,21:54:06.8,-51:50:06,328.528205,-51.835125,1720.549,1916.859,0.98489925,185.80363358,0.01421300,0.98490312,0.00004852,0.00004679,0.01378188,0.00096454,0.00104340,2.75103781,0.19707201,0.19600890,199.11618522,14.80943764,15.80657360,123.223,0.12449,2.79131,0.0113402,FLASH_158
J215406-515006,component_1b,4,21:54:06.8,-51:50:06,328.528205,-51.835125,1720.549,1916.859,0.60533140,191.28962695,0.00883476,0.60533200,0.00003598,0.00004506,0.00874891,0.00058106,0.00066881,1.77997839,0.12710670,0.11733570,202.70107651,12.38485691,12.92185456,105.921,0.125903,2.79349,0.0113402,FLASH_158
J215407-515021,component_1a,1,21:54:07.9,-51:50:21,328.533112,-51.839361,3037.395,3428.626,0.80449671,41.29850319,0.09681723,0.80449640,0.00000230,0.00000240,0.09674307,0.00167777,0.00184274,4.21925840,0.07504749,0.07499386,43.58741481,0.62074281,0.68983533,2102.4,0.148168,2.53311,0.0113402,FLASH_158
J215407-515021,component_1a,2,21:54:07.9,-51:50:21,328.533112,-51.839361,3037.395,3428.626,0.69152135,167.22391926,0.00634724,0.69151333,0.00003950,0.00004113,0.00632936,0.00048508,0.00051675,1.11940423,0.08337402,0.09702796,177.53410840,17.68344956,18.33806130,130.664,0.125565,2.78751,0.0113402,FLASH_158
J215407-515021,component_1a,3,21:54:07.9,-51:50:21,328.533112,-51.839361,3037.395,3428.626,0.60530291,188.35446982,0.00560115,0.60530311,0.00003563,0.00003538,0.00547775,0.00030555,0.00037145,1.10721065,0.06297608,0.07754850,202.09237603,10.98560195,12.19876053,138.097,0.125277,2.78659,0.0113402,FLASH_158
J215407-515021,component_1a,4,21:54:07.9,-51:50:21,328.533112,-51.839361,3037.395,3428.626,0.98483281,217.59218933,0.00825434,0.98482506,0.00004957,0.00004848,0.00823994,0.00060696,0.00057425,1.84934070,0.13041405,0.14085569,225.31927004,17.80768355,19.49698669,138.724,0.123487,2.78654,0.0113402,FLASH_158
